COMPLAINT_ID,CONTRACT_ID,PARENT_ORGANIZATION,REGION_RESPONSIBLE,CATEGORY,SUBCATEGORY,SUBCATEGORY_OTHER,COMPLAINT_SUMMARY,UPDATED_DATE,CASEWORK,COMMENT_TEXT,COMPLAINANT_TYPE,STATE,x,y,z
C026,CT1026,Massive Dynamic,Australia,Billing,Unexpected Fee,,Unexpected service fee appeared on the invoice.,2025-05-10,Closed,Waived the fee as a courtesy.,Individual,WA,46.552082,28.259823,-32.36987
C027,CT1027,Blue Sun Corporation,Europe,Service,Unreliable Performance,,Service works inconsistently.,2025-05-15,Open,Analyzing logs to identify the issue.,Business,OR,-51.632023,-24.88221,-51.099907
C028,CT1028,Wonkavision,North America,Product,Damaged Packaging,,Product box was torn upon delivery.,2025-05-20,Closed,Offered replacement or discount.,Individual,MI,-12.428629,61.02409,2.4318025
C029,CT1029,Hyperion,Asia,Support,Unhelpful Instructions,,Support provided unclear troubleshooting steps.,2025-05-25,Open,Rewriting support documentation.,Business,NC,13.113032,36.552967,73.713425
C030,CT1030,Abstergo Industries,South America,Delivery,Shipment Delayed,,Expected delivery date was missed.,2025-05-30,Closed,Expedited shipping for future orders.,Individual,GA,28.58261,-45.211723,23.179144
C031,CT1031,Omnitech,North America,Billing,Unauthorized Charge,,An unauthorized charge appeared on the account.,2025-06-01,Open,Investigating fraudulent activity.,Business,CA,12.971068,73.66483,-33.39301
C032,CT1032,Tycho Corp,Europe,Service,Slow Speeds,,Service speed is significantly lower than advertised.,2025-06-05,Closed,Adjusted settings to improve speed.,Individual,TX,-54.71915,2.0565581,-67.076645
C033,CT1033,Nakatomi Trading,Asia,Product,Counterfeit Item,,Product appears to be a counterfeit.,2025-06-10,Open,Verifying authenticity of the item.,Business,NY,-15.299836,5.3107367,-66.05911
C034,CT1034,Polybius Ltd,South America,Support,No Response,,Customer service has not responded at all.,2025-06-15,Closed,Assigned a dedicated support agent.,Individual,FL,-5.5286183,-3.0863905,41.77632
C035,CT1035,RetroTech,Africa,Delivery,Wrong Quantity,,Received fewer items than ordered.,2025-06-20,Open,Shipping the missing items.,Business,IL,-1.62806,9.277138,-10.157602
C036,CT1036,Atlas Corporation,Australia,Billing,Late Refund,,Refund has not been processed within the expected time.,2025-06-25,Closed,Expedited the refund process.,Individual,WA,24.871326,-27.27498,53.79338
C037,CT1037,Redwood Systems,Europe,Service,Unexpected Downtime,,Service was down for an unplanned period.,2025-06-30,Open,Providing compensation for downtime.,Business,OR,-38.5833,-39.920147,-14.75477
C038,CT1038,DataDyne,North America,Product,Defective Batch,,Multiple units from the same batch are defective.,2025-07-05,Closed,Recalled defective batch and replaced items.,Individual,MI,-11.754667,43.28421,-45.88446
C039,CT1039,Synapse Technologies,Asia,Support,Multiple Transfers,,Customer was transferred between multiple agents.,2025-07-10,Open,Improving support routing system.,Business,NC,30.738039,43.73734,-1.5063796
C040,CT1040,Helios Labs,South America,Delivery,Lost in Transit,,Package was lost in transit.,2025-07-15,Closed,Issued a full refund and replacement.,Individual,GA,31.571857,-20.809124,10.936378
C041,CT1041,CryoCorp,North America,Billing,Incorrect Subscription Plan,,Customer was placed on the wrong subscription plan.,2025-07-20,Open,Updating the subscription plan and issuing a refund.,Business,NY,17.273182,48.64009,-8.192631
C042,CT1042,Splice Genetics,Europe,Service,Activation Failure,,Service activation failed despite confirmation.,2025-07-25,Closed,Resolved backend issue and activated service.,Individual,TX,-20.767275,-57.71998,-16.10062
C043,CT1043,Zephyr Enterprises,Asia,Product,Defective Screen,,Product screen is malfunctioning.,2025-07-30,Open,Arranging for replacement or repair.,Business,FL,-26.292078,28.45625,-60.447838
C044,CT1044,Vista Dynamics,South America,Support,Automated Responses,,Customer keeps receiving automated responses with no real help.,2025-08-05,Closed,Assigned a human agent to resolve the issue.,Individual,IL,-16.813461,9.109085,38.970837
C045,CT1045,Infinity Labs,Africa,Delivery,Partial Delivery,,Only part of the order was delivered.,2025-08-10,Open,Processing shipment of missing items.,Business,OH,7.082448,-31.906927,10.714643
C046,CT1046,Neon Systems,Australia,Billing,Overdue Payment Notice,,Received an overdue payment notice for a bill already paid.,2025-08-15,Closed,Corrected account status and removed notice.,Individual,WA,42.17464,56.290188,-37.03014
C047,CT1047,Echo Tech,Europe,Service,VPN Connectivity Issue,,Customer is unable to connect to the VPN service.,2025-08-20,Open,Investigating VPN configuration.,Business,OR,-40.5179,-19.233547,4.9689007
C048,CT1048,Omega Solutions,North America,Product,Faulty Battery,,Device battery drains unusually fast.,2025-08-25,Closed,Provided a replacement battery.,Individual,MI,-42.412247,23.439514,-67.96798
C049,CT1049,Zion Technologies,Asia,Support,Failure to Escalate,,Support refused to escalate the issue to a higher tier.,2025-08-30,Open,Reviewing escalation policies and resolving issue.,Business,NC,10.375474,57.18593,64.27741
C050,CT1050,Phoenix Systems,South America,Delivery,Tracking Not Updating,,Tracking information has not been updated for days.,2025-09-05,Closed,Contacted courier and provided new tracking.,Individual,GA,36.101494,-43.230206,38.805317
C051,CT1051,Quantum Dynamics,North America,Billing,Incorrect Invoice Amount,,Invoice total does not match agreed pricing.,2025-09-10,Open,Reviewing contract terms and correcting invoice.,Business,CA,-20.436964,-78.27799,-47.83531
C052,CT1052,Mirage Corp,Europe,Service,Streaming Buffering,,Streaming service frequently buffers.,2025-09-15,Closed,Upgraded server capacity to improve performance.,Individual,TX,-66.38266,-43.17666,-9.879045
C053,CT1053,StormTech,Asia,Product,Incorrect Software Version,,Received an outdated software version.,2025-09-20,Open,Providing the latest software update.,Business,NY,9.907494,23.521793,-76.64232
C054,CT1054,AstroCom,South America,Support,Agent Hung Up,,Support agent disconnected call before resolving issue.,2025-09-25,Closed,Issued an apology and retrained support team.,Individual,FL,-6.256588,41.254047,82.542244
C055,CT1055,Orion Systems,Africa,Delivery,Returned to Sender,,Package was returned to sender without delivery attempt.,2025-09-30,Open,Re-dispatching package with priority shipping.,Business,IL,40.68972,10.225972,21.734398
C056,CT1056,Starlight Enterprises,Australia,Billing,Duplicate Payment,,Two identical payments were deducted.,2025-10-05,Closed,Processing refund for the duplicate charge.,Individual,WA,71.8788,-20.340208,65.532936
C057,CT1057,Nebula Technologies,Europe,Service,Inconsistent Performance,,Service works well sometimes but fails unpredictably.,2025-10-10,Open,Analyzing performance logs to identify root cause.,Business,OR,-57.463776,-21.681158,-40.44288
C058,CT1058,Solaris Inc,North America,Product,Broken Seal,,Received a product with a broken security seal.,2025-10-15,Closed,Investigating potential tampering and offering replacement.,Individual,MI,-1.3504092,9.675393,-51.68314
C059,CT1059,Hypernova Systems,Asia,Support,Long Hold Times,,Customer waited over 30 minutes on hold.,2025-10-20,Open,Implementing callback system to reduce hold times.,Business,NC,-39.461456,-5.6599617,60.052998
C060,CT1060,FutureTech,South America,Delivery,Failed Delivery Attempt,,Courier attempted delivery but did not leave a notice.,2025-10-25,Closed,Re-scheduling delivery and notifying customer.,Individual,GA,44.347443,21.183517,27.93202
