COMPLAINT_ID,CONTRACT_ID,PARENT_ORGANIZATION,REGION_RESPONSIBLE,CATEGORY,SUBCATEGORY,SUBCATEGORY_OTHER,COMPLAINT_SUMMARY,UPDATED_DATE,CASEWORK,COMMENT_TEXT,COMPLAINANT_TYPE,STATE
C036,CT1036,Atlas Corporation,Australia,Billing,Late Refund,,Refund has not been processed within the expected time.,2025-06-25,Closed,Expedited the refund process.,Individual,WA
C037,CT1037,Redwood Systems,Europe,Service,Unexpected Downtime,,Service was down for an unplanned period.,2025-06-30,Open,Providing compensation for downtime.,Business,OR
C038,CT1038,DataDyne,North America,Product,Defective Batch,,Multiple units from the same batch are defective.,2025-07-05,Closed,Recalled defective batch and replaced items.,Individual,MI
C039,CT1039,Synapse Technologies,Asia,Support,Multiple Transfers,,Customer was transferred between multiple agents.,2025-07-10,Open,Improving support routing system.,Business,NC
C040,CT1040,Helios Labs,South America,Delivery,Lost in Transit,,Package was lost in transit.,2025-07-15,Closed,Issued a full refund and replacement.,Individual,GA
C041,CT1041,CryoCorp,North America,Billing,Incorrect Subscription Plan,,Customer was placed on the wrong subscription plan.,2025-07-20,Open,Updating the subscription plan and issuing a refund.,Business,NY
C042,CT1042,Splice Genetics,Europe,Service,Activation Failure,,Service activation failed despite confirmation.,2025-07-25,Closed,Resolved backend issue and activated service.,Individual,TX
C043,CT1043,Zephyr Enterprises,Asia,Product,Defective Screen,,Product screen is malfunctioning.,2025-07-30,Open,Arranging for replacement or repair.,Business,FL
C044,CT1044,Vista Dynamics,South America,Support,Automated Responses,,Customer keeps receiving automated responses with no real help.,2025-08-05,Closed,Assigned a human agent to resolve the issue.,Individual,IL
C045,CT1045,Infinity Labs,Africa,Delivery,Partial Delivery,,Only part of the order was delivered.,2025-08-10,Open,Processing shipment of missing items.,Business,OH
C046,CT1046,Neon Systems,Australia,Billing,Overdue Payment Notice,,Received an overdue payment notice for a bill already paid.,2025-08-15,Closed,Corrected account status and removed notice.,Individual,WA
C047,CT1047,Echo Tech,Europe,Service,VPN Connectivity Issue,,Customer is unable to connect to the VPN service.,2025-08-20,Open,Investigating VPN configuration.,Business,OR
C048,CT1048,Omega Solutions,North America,Product,Faulty Battery,,Device battery drains unusually fast.,2025-08-25,Closed,Provided a replacement battery.,Individual,MI
C049,CT1049,Zion Technologies,Asia,Support,Failure to Escalate,,Support refused to escalate the issue to a higher tier.,2025-08-30,Open,Reviewing escalation policies and resolving issue.,Business,NC
C050,CT1050,Phoenix Systems,South America,Delivery,Tracking Not Updating,,Tracking information has not been updated for days.,2025-09-05,Closed,Contacted courier and provided new tracking.,Individual,GA
C051,CT1051,Quantum Dynamics,North America,Billing,Incorrect Invoice Amount,,Invoice total does not match agreed pricing.,2025-09-10,Open,Reviewing contract terms and correcting invoice.,Business,CA
C052,CT1052,Mirage Corp,Europe,Service,Streaming Buffering,,Streaming service frequently buffers.,2025-09-15,Closed,Upgraded server capacity to improve performance.,Individual,TX
C053,CT1053,StormTech,Asia,Product,Incorrect Software Version,,Received an outdated software version.,2025-09-20,Open,Providing the latest software update.,Business,NY
C054,CT1054,AstroCom,South America,Support,Agent Hung Up,,Support agent disconnected call before resolving issue.,2025-09-25,Closed,Issued an apology and retrained support team.,Individual,FL
C055,CT1055,Orion Systems,Africa,Delivery,Returned to Sender,,Package was returned to sender without delivery attempt.,2025-09-30,Open,Re-dispatching package with priority shipping.,Business,IL
C056,CT1056,Starlight Enterprises,Australia,Billing,Duplicate Payment,,Two identical payments were deducted.,2025-10-05,Closed,Processing refund for the duplicate charge.,Individual,WA
C057,CT1057,Nebula Technologies,Europe,Service,Inconsistent Performance,,Service works well sometimes but fails unpredictably.,2025-10-10,Open,Analyzing performance logs to identify root cause.,Business,OR
C058,CT1058,Solaris Inc,North America,Product,Broken Seal,,Received a product with a broken security seal.,2025-10-15,Closed,Investigating potential tampering and offering replacement.,Individual,MI
C059,CT1059,Hypernova Systems,Asia,Support,Long Hold Times,,Customer waited over 30 minutes on hold.,2025-10-20,Open,Implementing callback system to reduce hold times.,Business,NC
C060,CT1060,FutureTech,South America,Delivery,Failed Delivery Attempt,,Courier attempted delivery but did not leave a notice.,2025-10-25,Closed,Re-scheduling delivery and notifying customer.,Individual,GA
